"Problem_Type","Instance_Type","Instance_ID","Correlation","Objectives","Variables","Constraints","Sparsity","Algorithm","Type_of_Operation","MIP_Emphasis","Type_of_Boost","Cplex_Heur","Parallelism","Total_Threads","Thread_ID","Master_Time","Slave_Time","IP_Solved","Num_Non_Dom_Pts","Num_Non_Dom_Pts_Found"
"BOAP","Hadi","16dat.txt",-0.002051068942218429,2,90000,600,0.9966666666666667,"EBBM","dynamic",false,"NB",true,false,1,1,5321.161807060242,0.0,2107.0,1746.0,1746.0
"BOAP","Hadi","16dat.txt",-0.002051068942218429,2,90000,600,0.9966666666666667,"EBBM","lex_min",false,"NB",true,false,1,1,6245.485864162445,0.0,3132.0,1746.0,1746.0
"BOAP","Hadi","16dat.txt",-0.002051068942218429,2,90000,600,0.9966666666666667,"EBBM","lex_min",true,"NB",true,false,1,1,6463.2265820503235,0.0,3132.0,1746.0,1746.0
"BOAP","Hadi","16dat.txt",-0.002051068942218429,2,90000,600,0.9966666666666667,"UDECM","augmented_operation",false,"NB",true,false,1,1,66833.53053593636,0.0,1748.0,1746.0,1746.0
"BOAP","Hadi","16dat.txt",-0.002051068942218429,2,90000,600,0.9966666666666667,"UDECM","dynamic",false,"NB",true,false,1,1,65152.432212114334,0.0,1748.0,1746.0,1746.0
"BOAP","Hadi","16dat.txt",-0.002051068942218429,2,90000,600,0.9966666666666667,"UDECM","lex_min",false,"NB",true,false,1,1,7004.851396083832,0.0,3492.0,1746.0,1746.0
"BOAP","Hadi","17dat.txt",0.0006448843871660546,2,90000,600,0.9966666666666667,"BBM","lex_min",false,"NB",true,false,1,1,8019.757518053055,0.0,4133.0,1889.0,1889.0
"BOAP","Hadi","17dat.txt",0.0006448843871660546,2,90000,600,0.9966666666666667,"EBBM","augmented_operation",false,"NB",true,false,1,1,6212.213818073273,0.0,1920.0,1889.0,1889.0
"BOAP","Hadi","17dat.txt",0.0006448843871660546,2,90000,600,0.9966666666666667,"EBBM","dynamic",false,"NB",true,false,1,1,6043.417578935623,0.0,2299.0,1889.0,1889.0
"BOAP","Hadi","17dat.txt",0.0006448843871660546,2,90000,600,0.9966666666666667,"EBBM","lex_min",false,"NB",true,false,1,1,7077.658291101456,0.0,3406.0,1889.0,1889.0
"BOAP","Hadi","17dat.txt",0.0006448843871660546,2,90000,600,0.9966666666666667,"EBBM","lex_min",true,"NB",true,false,1,1,6995.139642000198,0.0,3406.0,1889.0,1889.0
"BOAP","Hadi","17dat.txt",0.0006448843871660546,2,90000,600,0.9966666666666667,"UDECM","augmented_operation",false,"NB",true,false,1,1,30843.280869960785,0.0,1891.0,1889.0,1889.0
"BOAP","Hadi","17dat.txt",0.0006448843871660546,2,90000,600,0.9966666666666667,"UDECM","dynamic",false,"NB",true,false,1,1,30670.33740711212,0.0,1891.0,1889.0,1889.0
"BOAP","Hadi","17dat.txt",0.0006448843871660546,2,90000,600,0.9966666666666667,"UDECM","lex_min",false,"NB",true,false,1,1,7603.9877989292145,0.0,3778.0,1889.0,1889.0
"BOAP","Hadi","18dat.txt",0.003090181305983618,2,90000,600,0.9966666666666667,"BBM","lex_min",false,"NB",true,false,1,1,7467.733991146088,0.0,3970.0,1834.0,1834.0
"BOAP","Hadi","18dat.txt",0.003090181305983618,2,90000,600,0.9966666666666667,"EBBM","augmented_operation",false,"NB",true,false,1,1,10299.15107703209,0.0,1851.0,1834.0,1834.0
"BOAP","Hadi","18dat.txt",0.003090181305983618,2,90000,600,0.9966666666666667,"EBBM","dynamic",false,"NB",true,false,1,1,5903.637284994125,0.0,2226.0,1834.0,1834.0
"BOAP","Hadi","18dat.txt",0.003090181305983618,2,90000,600,0.9966666666666667,"EBBM","lex_min",false,"NB",true,false,1,1,6736.158617973328,0.0,3307.0,1834.0,1834.0
"BOAP","Hadi","18dat.txt",0.003090181305983618,2,90000,600,0.9966666666666667,"EBBM","lex_min",true,"NB",true,false,1,1,6417.431766033173,0.0,3307.0,1834.0,1834.0
"BOAP","Hadi","18dat.txt",0.003090181305983618,2,90000,600,0.9966666666666667,"UDECM","augmented_operation",false,"NB",true,false,1,1,29812.216820001602,0.0,1836.0,1834.0,1834.0
"BOAP","Hadi","18dat.txt",0.003090181305983618,2,90000,600,0.9966666666666667,"UDECM","dynamic",false,"NB",true,false,1,1,29757.74367904663,0.0,1836.0,1834.0,1834.0
"BOAP","Hadi","18dat.txt",0.003090181305983618,2,90000,600,0.9966666666666667,"UDECM","lex_min",false,"NB",true,false,1,1,7511.964104175568,0.0,3668.0,1834.0,1834.0
"BOAP","Hadi","19dat.txt",0.005763559146562801,2,90000,600,0.9966666666666667,"BBM","lex_min",false,"NB",true,false,1,1,8036.797435045242,0.0,4025.0,1839.0,1839.0
"BOAP","Hadi","19dat.txt",0.005763559146562801,2,90000,600,0.9966666666666667,"EBBM","augmented_operation",false,"NB",true,false,1,1,8186.091145038605,0.0,1870.0,1839.0,1839.0
"BOAP","Hadi","19dat.txt",0.005763559146562801,2,90000,600,0.9966666666666667,"EBBM","dynamic",false,"NB",true,false,1,1,6673.321134090424,0.0,2233.0,1839.0,1839.0
"BOAP","Hadi","19dat.txt",0.005763559146562801,2,90000,600,0.9966666666666667,"EBBM","lex_min",false,"NB",true,false,1,1,6720.715205907822,0.0,3315.0,1839.0,1839.0
"BOAP","Hadi","19dat.txt",0.005763559146562801,2,90000,600,0.9966666666666667,"EBBM","lex_min",true,"NB",true,false,1,1,6342.193117856979,0.0,3315.0,1839.0,1839.0
"BOAP","Hadi","19dat.txt",0.005763559146562801,2,90000,600,0.9966666666666667,"UDECM","augmented_operation",false,"NB",true,false,1,1,39760.61329078674,0.0,1841.0,1839.0,1839.0
"BOAP","Hadi","19dat.txt",0.005763559146562801,2,90000,600,0.9966666666666667,"UDECM","dynamic",false,"NB",true,false,1,1,39885.67426586151,0.0,1841.0,1839.0,1839.0
"BOAP","Hadi","19dat.txt",0.005763559146562801,2,90000,600,0.9966666666666667,"UDECM","lex_min",false,"NB",true,false,1,1,7338.2606909275055,0.0,3678.0,1839.0,1839.0
"BOAP","Hadi","1dat.txt",0.00582160969630467,2,40000,400,0.995,"BBM","lex_min",false,"NB",true,false,1,1,1207.088140964508,0.0,1492.0,676.0,676.0
"BOAP","Hadi","1dat.txt",0.00582160969630467,2,40000,400,0.995,"EBBM","augmented_operation",false,"NB",true,false,1,1,1072.2634739875793,0.0,688.0,676.0,676.0
"BOAP","Hadi","1dat.txt",0.00582160969630467,2,40000,400,0.995,"EBBM","dynamic",false,"NB",true,false,1,1,996.8333230018616,0.0,846.0,676.0,676.0
"BOAP","Hadi","1dat.txt",0.00582160969630467,2,40000,400,0.995,"EBBM","lex_min",false,"NB",true,false,1,1,1032.3589928150177,0.0,1206.0,676.0,676.0
